name_txt	tax_id
Achatina achatina	1442373
Arion ater	145126
Arthrobacter globiformis	1665
Aspergillus ochraceus	40380
Aspergillus terreus	33178
Basidiomycota	5204
[Candida] sp. (uncertain placement)	1853550
Candida tropicalis	5482
Colletotrichum graminicola	31870
Comamonas sp.	34028
Cornu aspersum	6535
Fulvia fulva	5499
Fungi	4751
Gloeophyllum trabeum	104355
Pichia	4919
Komagataella pastoris	4922
Komagataella phaffii	460519
Komagataella phaffii GS115	644223
Kuraishia capsulata	317047
Levilactobacillus brevis	1580
Lissachatina fulica	2315439
Ochrobactrum sp.	42190
Ogataea angusta	870730
Ogataea glucozyma	36023
Ogataea henricii	36024
Ogataea methanolica	1156966
Ogataea methylovora	53649
Ogataea minuta	36026
Ogataea naganishii	50265
Ogataea philodendri	1378263
Ogataea pignaliae	51923
Ogataea pini	4923
Ogataea siamensis	246385
Ogataea thermomethanolica (nom. inval.)	310468
Ogataea trehalophila	50267
Ogataea wickerhamii	1249076
Paecilomyces variotii	264951
Penicillium chrysogenum	5076
Penicillium purpurescens	69782
Phanerodontia chrysosporium	2822231
Phlebiopsis gigantea	82310
Pichia sp.	4925
Polyporus	5637
Poria	81051
Radulodon casearius	1156840
Starmerella bombicola	75736
Thermoanaerobacter brockii	29323
Thermoascus aurantiacus	5087
[Candida] boidinii	5477
[Candida] methanosorbosa	50262
[Candida] sithepensis	246387
[Candida] sonorensis	51926
[Candida] succiphila	51927
