tax_id	name_txt
41984	Aspergillus tamarii
706561	Salinomyces thailandica
747525	Heterobasidion irregulare TC 32-1
732165	Dichomitus squalens LYAD-421 SS1
153609	Moniliophthora perniciosa
227341	Lyruterina
645133	Colletotrichum graminicola M1.001
1016849	Exophiala sideris
1336337	Choiromyces venosus 120613-1
569365	Cladophialophora immunda
39966	Hypsizygus marmoreus
1509407	Aspergillus nomiae NRRL 13137
1076256	Armillaria solidipes
86049	Cladophialophora carrionii
40998	Elsinoe australis
135208	Hericium alpestre
177199	Coniochaeta pulveracea
1196081	Talaromyces amestolkiae
692275	Sphaerulina musiva SO2202
425011	Aspergillus niger CBS 513.88
745531	Phlebiopsis gigantea 11061_1 CR5-6
2039875	Ophiocordyceps camponoti-leonardi (nom. inval.)
573508	Aspergillus cristatus
1116229	Glarea lozoyensis ATCC 20868
45133	Lasiodiplodia theobromae
321614	Parastagonospora nodorum SN15
97359	Auriculariopsis ampla
1108050	Rhizoctonia solani AG-1 IB
1314807	Dendrothele bispora CBS 962.96
5204	Basidiomycota
50262	[Candida] methanosorbosa
2822231	Phanerodontia chrysosporium
766039	Acidomyces richmondensis BFW
50265	Ogataea naganishii
50267	Ogataea trehalophila
205917	Dentipellis fragilis
1077348	Ganoderma sinense ZZ0214-1
1884261	Pterula gracilis
41062	Aspergillus leporis
37992	Xylaria hypoxylon
41067	Aspergillus candidus
1214573	Diaporthe ampelina
1279085	Fusarium fujikuroi IMI 58289
1382522	Kuraishia capsulata CBS 1993
31870	Colletotrichum graminicola
644223	Komagataella phaffii GS115
490622	Trichoderma arundinaceum
690307	Aspergillus aculeatus ATCC 16872
431241	Trichoderma reesei QM6a
29845	Penicillium vulpinum
69782	Penicillium purpurescens
1290391	Botrytis cinerea BcDW1
871575	Ogataea parapolymorpha DL-1
332952	Aspergillus flavus NRRL3357
81051	Poria
139420	Polyporus brumalis
229533	Fusarium graminearum PH-1
1408157	Coniochaeta ligniaria NRRL 30616
229535	Penicillium nordicum
944288	Plicaturopsis crispa FD-325 SS-3
944289	Collybiopsis luxurians FD-317 M1
132259	Aspergillus pseudotamarii
1408163	Rasamsonia emersonii CBS 393.64
68775	Crucibulum laeve
2675880	Fusarium flagelliforme
2315439	Lissachatina fulica
183478	Stemphylium lycopersici
36023	Ogataea glucozyma
36024	Ogataea henricii
694270	Fusarium longipes
36026	Ogataea minuta
40125	Bipolaris victoriae
87229	Botrytis porri
310468	Ogataea thermomethanolica (nom. inval.)
1173701	Colletotrichum sublineola
50376	Venturia effusa
215243	Exophiala oligosperma
42190	Ochrobactrum sp.
36050	Fusarium poae
933084	Jaapia argillacea MUCL 33604
1388766	Aspergillus ruber CBS 135680
1353952	Calocera cornea HHB12733
2070753	Aspergillus sclerotialis
1306850	Termitomyces sp. J132
1356009	Paecilomyces variotii No. 5
5353	Lentinula edodes
34028	Comamonas sp.
1306861	Colletotrichum tanaceti
1250544	Sphaerosporella brunnea
671987	Exserohilum turcica Et28A
77044	Rosellinia necatrix
5364	Heliocybe sulcata
1858805	Dacryopinax primogenitus
857342	Amorphotheca resinae ATCC 22711
644352	Gaeumannomyces tritici R3-111a-1
1072389	Drepanopeziza brunnea f. sp. 'multigermtubi' MB_m1
644358	Magnaporthiopsis poae ATCC 64411
42249	Tuber magnatum
563466	Scedosporium apiospermum
1093900	Thyridium curvatum
1230097	Cytospora leucostoma
1104152	Glarea lozoyensis 74030
1226010	Aspergillus bertholletiae
573729	Thermothelomyces thermophilus ATCC 42464
930089	Bipolaris zeicola 26-R-13
694573	Valsa mali var. pyri (nom. inval.)
675120	Dothistroma septosporum NZE10
1160497	Aspergillus glaucus CBS 516.65
1353009	Trametes coccinea BRFM310
1573173	Colletotrichum incanum
1403190	Aspergillus parasiticus SU-1
665912	Bipolaris sorokiniana ND90Pr
1220924	Cyphellophora europaea CBS 101466
1813822	Xylariales sp. No.14919
503106	Marssonina coronariae
1036611	Aspergillus versicolor CBS 583.65
1036612	Aspergillus sydowii CBS 593.65
47427	Armillaria gallica
47428	Armillaria ostoyae
574789	Mytilinidion resinicola
56646	Fusarium venenatum
741705	Coniophora puteana RWD-64-598 SS2
870730	Ogataea angusta
5454	Ascochyta rabiei
398673	Trichoderma gamsii
2502994	Fusarium odoratissimum
1571157	Coniochaeta sp. 2T2.1
5466	Colletotrichum trifolii
5477	[Candida] boidinii
1001832	Daldinia sp. EC12
1001833	Hypoxylon sp. CI-4A
5482	Candida tropicalis
1141098	Pseudomassariella vexata
1429867	Penicillium camemberti FM 013
40296	Penicillium italicum
2512241	Xylaria flabelliformis
597362	Agaricus bisporus var. burnettii JB137-S8
1448308	Corynespora cassiicola Philippines
861557	Pyrenophora teres f. teres 0-1
357750	Cercospora berteroae
1381753	Moniliophthora roreri MCA 2997
5499	Fulvia fulva
1448315	Aspergillus uvarum CBS 121591
1448316	Aspergillus ibericus CBS 121593
1448318	Aspergillus sclerotiicarbonarius CBS 121057
1367422	Fonsecaea erecta
1448320	Aspergillus ellipticus CBS 707.79
1448321	Aspergillus heteromorphus CBS 117.55
999810	Botrytis cinerea T4
82310	Phlebiopsis gigantea
6535	Cornu aspersum
5514	Fusarium sporotrichioides
5516	Fusarium culmorum
413071	Trichoderma virens Gv29-8
53649	Ogataea methylovora
945553	Hypholoma sublateritium FD-334 SS-4
33178	Aspergillus terreus
278938	Botrytis elliptica
1213857	Colletotrichum orbiculare MAFF 240422
5539	Scytalidium lignicola
1213859	Colletotrichum fructicola Nara gc5
215461	Lachnellula willkommii
230819	Coprinopsis marcescibilis
5544	Trichoderma harzianum
1485229	Cadophora sp. DSE1049
100787	Verticillium longisporum
1460663	Paraphaeosphaeria sporulosa
40380	Aspergillus ochraceus
426428	Fusarium oxysporum f. sp. lycopersici 4287
100816	Madurella mycetomatis
1001938	Hypoxylon sp. CO27-5
