	accession	selected	active
0	Q6TAW1	0	1
1	A6PZG8	0	1
2	Q5S060	1	1
3	P56216	1	2
4	Q9C1S3	1	3
5	A0A1E3PW31	1	2
6	F2R038	0	1
7	I7CMK2	0	1
8	Q9P304	1	3
9	A0A5N6UU48	1	3
10	T2M2J4	1	1
11	F8Q303	1	1
12	Q7X2H8	1	2
13	Q00922	1	2
14	Q8X1N1	1	1
15	W9W4X4	1	3
16	A0A0G2EW25	1	3
17	S7RFS3	0	1
18	A0A0D2BJ30	1	3
19	A8DPS4	1	1
20	C4R702	1	3
21	Q9UVU2	0	1
22	A0A2B7Z2F3	1	3
23	G8ZNE6	1	2
24	A0A4S4MTI8	1	1
25	F2QY27	0	1
26	W4JTB1	1	3
27	P04842	0	1
28	Q5BFW3	1	1
29	A6PZG9	0	1
30	A0A0D2AFJ7	1	1
31	A0A977TIR6	0	1
32	A8P219	1	1
33	P04841	0	1
34	Q5S057	0	1
35	M5CAV1	1	3
36	Q6CEP8	1	2
37	Q9UVU1	1	1
38	A0A642VDA0	1	1
39	A0A0F4G7F6	1	1
40	Q5S058	0	1
41	Q5S059	0	1
42	A0A084GBF2	1	3
43	A0A2K1QGL6	1	1
44	A0A067YIW8	1	3
45	A6PZG7	0	1
