rid	title	year	pubmed id	brenda id	type
0	"Alcohol oxidase, a flavoprotein from several Basidiomycetes species. Crystallization by fractional precipitation with polyethylene glycol"	1968	5636370	484905	1
1	Alcohol oxidase from basidiomycetes	1975	236460	484906	1
2	Purification and characterization of alcohol oxidase from Candida 25-A	1979	-	484907	1
3	Purification and properties of alcohol oxidase from Poria contigua	1979	118005	484908	1
4	"Irreversible inactivation of the flavoenzyme alcohol, oxidase with acetylenic alcohols"	1980	7006601	484909	1
5	"Oxidation of methanol by the yeast, Pichia pastoris. Purification and properties of the alcohol oxidase"	1980	-	484910	1
6	Presence of a flavin semiquinone in methanol oxidase	1980	6261238	484920	1
7	"Microbial oxidation of methanol: properties of crystallized alcohol oxidase from a yeast, Pichia sp"	1981	7030206	484911	1
8	Sulfhydryl and histidinyl residues in the flavoenzyme alcohol oxidase from Candida boidinii	1981	7028103	484916	1
9	Alcohol oxidase from Candida boidinii	1982	-	484912	1
10	Irreversible inactivation of the flavoenzyme alcohol oxidase by cyclopropanone	1982	7046750	484917	1
11	Isolation of alcohol oxidase and two other methanol regulatable genes from the yeast Pichia pastoris.	1985	3889590		1
12	Molecular cloning and characterization of a gene coding for methanol oxidase in Hansenula polymorpha.	1985	2582370		1
13	Flavin-dependent alcohol oxidase from yeast. Studies on the catalytic mechanism and inactivation during turnover	1986	3533534	484913	1
14	"Formation, purification, and partial characterization of methanol oxidase, a H2O2-producing enzyme in Phanerochaete chrysosporium"	1987	-	484919	1
15	Methanol oxidase of Phanerochaete chrysosporium	1988	-	484918	1
16	Functional characterization of the two alcohol oxidase genes from the yeast Pichia pastoris.	1989	2657390		1
17	Structural comparison of the Pichia pastoris alcohol oxidase genes.	1989	2660463		1
18	Alcohol oxidase from Hansenula polymorpha CBS 4732	1990	2280715	484914	1
19	"Biosynthesis and assembly of alcohol oxidase, a peroxisomal matrix protein in methylotrophic yeasts: a review."	1991	1882546		1
20	Drosophila glucose dehydrogenase and yeast alcohol oxidase are homologous and share N-terminal homology with other flavoenzymes.	1991	2002763		1
21	Modification of flavin adenine dinucleotide in alcohol oxidase of the yeast Hansenula polymorpha	1991	1770353	484915	1
22	Modification of flavin adenine dinucleotide in alcohol oxidase of the yeast Hansenula polymorpha.	1991	1770353		2
23	"Cloning and sequencing of the alcohol oxidase-encoding gene (AOD1) from the formaldehyde-producing asporogeneous methylotrophic yeast, Candida boidinii S2."	1992	1587486		1
