sid	uniprot id	type
0	I7CMK2	1
1	A8DPS4	1
2	A0A977TIR6	1
3	Q5S057	1
4	F2QY27	1
5	A0A067YIW8	1
6	A0A1B2JII2	1
7	Q5S058	1
8	Q6TAW1	1
9	Q9UVU1	1
10	A6PZG7	1
11	A6PZG8	1
12	A6PZG9	1
13	Q5S059	1
14	Q5S060	1
15	Q9UVU2	1
16	P04842	2
17	F2R038	2
18	Q00922	2
19	C4R702	2
20	P04841	2
21	A0A1E3PW31	3
22	A2R501	3
23	B8MHF8	3
24	A0A1D8N7R0	3
25	A0A8J5BKG4	3
26	A0A8J5CMB5	3
27	Q6CEP8	3
28	B8MSB1	3
29	A0A9Q8V9V0	3
30	A0A084GGR8	3
31	A0A084G7M0	3
32	A0A084FZ29	3
33	A5LGE1	3
34	A0A084GBF2	3
35	A5LGD9	3
36	A5LGE2	3
37	A0A1B2JBK5	3
38	A0A642VDA0	3
39	Q1JUK7	3
40	W6MF75	3
41	A0A1B7SJY0	3
42	A0A1E4SXY7	3
43	A0A1E4SZH3	3
44	W1QCJ3	3
45	A0A1E4T6V9	3
46	B8LTH7	3
47	A0A1W2TQY8	3
48	A2RB46	3
49	A0A0F4Z346	3
50	A0A084GCK7	3
51	A0A024FB95	3
52	A0A084G0M1	3
53	M5CF32	4
54	M5C8F8	4
55	A5LGE3	4
56	A5LGF0	4
57	A5LGE7	4
58	A5LGE4	4
59	A5LGE5	4
60	A5LGE8	4
61	A5LGE6	4
62	A5LGF3	4
63	M5C2L8	4
64	A5LGF2	4
65	A5LGE9	4
66	A5LGF1	4
67	A5LGF4	4
68	M5C784	4
69	A0A1E3QC55	4
70	M5C7F4	4
71	B7PIZ7	4
72	C5MAH1	4
73	M5CH40	4
74	M5CC52	4
75	A5LGE0	4
76	M5CB66	4
77	A0A1Q3A4E0	4
78	A0A8K1HUA6	4
79	A0A8K1HW99	4
80	C5E503	4
81	B8LTH8	4
82	A0A642V8X8	4
83	A0A642UJ42	4
84	A0A1Q2ZZ65	4
85	A0A4C2EFJ1	4
86	A9ZSY8	4
87	A9ZSY9	4
88	A9ZSZ0	4
89	C5DZ68	4
90	A0A1G4MGC2	4
91	G8ZNE6	4
92	A0A060TJ17	4
93	A0A1E3Q3X1	4
94	M5CAV1	4
95	M5C9N9	4
96	A0A084FVR4	4
97	A0A4C2EBY4	4
98	A0A8J5QSW1	4
99	A0A084FW90	4
100	A0A084GDC9	4
101	A0A1E3PYZ1	4
102	A0A421JRD1	4
103	A0A8H7ZJI5	4
