source	target	db
Brenda686441	Komagataella pastoris	brenda
Pubmed9396748	Komagataella phaffii	uniprot
Brenda673755	Ogataea angusta	brenda
Brenda484918	Phanerodontia chrysosporium	brenda
Brenda484925	Candida methanosorbosa	brenda
Brenda690209	Candida methanosorbosa	brenda
Brenda697064	Ogataea angusta	brenda
Pubmed1882546	Komagataella phaffii	uniprot
Brenda484914	Ogataea angusta	brenda
Brenda686817	Ogataea angusta	brenda
Brenda673663	Ogataea angusta	brenda
Brenda484919	Phanerodontia chrysosporium	brenda
Pubmed1587486	Candida boidinii	uniprot
Brenda484917	Candida boidinii	brenda
Brenda690209	Pichia sp.	brenda
Brenda695721	Ogataea methanolica	brenda
Brenda657433	Ogataea angusta	brenda
Brenda484915	Pichia angusta	uniprot
Brenda484915	Komagataella pastoris	brenda
Pubmed2660463	Komagataella phaffii	uniprot
Brenda690209	Ogataea angusta	brenda
Brenda698659	Aspergillus terreus	brenda
Pubmed2002763	Pichia angusta	uniprot
Brenda484906	Radulodon casearius	brenda
Brenda484907	Candida sp.	brenda
Brenda690104	Ogataea angusta	brenda
Brenda484924	Candida boidinii	brenda
Brenda738128	Phanerodontia chrysosporium	brenda
Pubmed11683419	Candida boidinii	uniprot
Pubmed23022488	Moniliophthora perniciosa	uniprot
Brenda671539	Aspergillus terreus	brenda
Brenda484913	Candida boidinii	brenda
Pubmed8873445	Pichia angusta	uniprot
Brenda739948	Komagataella pastoris	brenda
Brenda690209	Ogataea trehalophila	brenda
Brenda484910	Komagataella pastoris	brenda
Brenda724565	Ogataea angusta	brenda
Brenda740190	Komagataella pastoris	brenda
Brenda674961	Thermoascus aurantiacus	brenda
Brenda699050	Penicillium purpurescens	brenda
Brenda684630	Paecilomyces variotii	brenda
Brenda484921	Arion ater	brenda
Brenda740785	Komagataella pastoris	brenda
Brenda690209	Ogataea pignaliae	brenda
Brenda484923	Ogataea angusta	brenda
Brenda484922	Phlebiopsis gigantea	brenda
Brenda690209	Ogataea philodendri	brenda
Brenda763283	Ochrobactrum sp.	brenda
Brenda484912	Candida boidinii	brenda
Brenda675045	Aspergillus ochraceus	brenda
Brenda739968	Aspergillus terreus	brenda
Brenda740193	Komagataella pastoris	brenda
Brenda724630	Komagataella pastoris	brenda
Brenda684565	Gloeophyllum trabeum	uniprot
Brenda657411	Ogataea methanolica	brenda
Brenda690109	Komagataella pastoris	brenda
Brenda724083	Komagataella pastoris	brenda
Brenda690209	Ogataea methylovora	brenda
Brenda762910	Arthrobacter globiformis	brenda
Brenda690209	Ogataea glucozyma	brenda
Brenda762911	Levilactobacillus brevis	brenda
Brenda686441	Candida boidinii	brenda
Brenda673755	Ogataea methanolica	brenda
Brenda690209	Ogataea henricii	brenda
Brenda484915	Ogataea angusta	brenda
Brenda763463	Candida boidinii	brenda
Pubmed16032762	Pichia sp.	uniprot
Brenda673755	Komagataella pastoris	brenda
Brenda672302	Ogataea angusta	brenda
Brenda763282	Ogataea thermomethanolica	brenda
Brenda685810	Ogataea angusta	brenda
Brenda686482	Komagataella pastoris	brenda
Brenda762679	Phanerodontia chrysosporium	brenda
Brenda484916	Candida boidinii	brenda
Brenda690209	Ogataea methanolica	brenda
Brenda484915	Candida boidinii	brenda
Pubmed10487924	Ogataea methanolica	uniprot
Brenda673755	Candida boidinii	brenda
Brenda690209	Ogataea naganishii	brenda
Brenda740872	Ochrobactrum sp.	brenda
Brenda690209	Ogataea minuta	brenda
Brenda762989	Komagataella phaffii	brenda
Brenda675722	Ogataea siamensis	brenda
Brenda741253	Komagataella pastoris	brenda
Brenda684565	Gloeophyllum trabeum	brenda
Brenda656564	Komagataella pastoris	brenda
Brenda484910	Ogataea angusta	brenda
Brenda741256	Komagataella pastoris	brenda
Brenda484909	Candida boidinii	brenda
Brenda484921	Achatina achatina	brenda
Brenda675722	Candida sithepensis	brenda
Brenda762603	Phanerodontia chrysosporium	brenda
Pubmed1882546	Pichia angusta	uniprot
Brenda690209	Candida sonorensis	brenda
