Organism	tax_id	curate_id	name_txt
Achatina achatina	1442373	1	Achatina achatina
Arion ater	145126	1	Arion ater
Arthrobacter globiformis	1665	1	Arthrobacter globiformis
Aspergillus ochraceus	40380	1	Aspergillus ochraceus
Aspergillus ochraceus AIU 031	40380	3	Aspergillus ochraceus
Aspergillus terreus	33178	1	Aspergillus terreus
Aspergillus terreus MTCC 6324	33178	3	Aspergillus terreus
Basidiomycota	5204	1	Basidiomycota
Basidiomycota B191039	5204	2	Basidiomycota
Candida sp. (in: Saccharomycetales)	-1	4	
Candida sp. (in: Saccharomycetales) 25-A	-1	5	
Candida tropicalis	5482	1	Candida tropicalis
Colletotrichum graminicola	31870	1	Colletotrichum graminicola
Comamonas sp.	34028	1	Comamonas sp.
Comamonas sp. UVS	34028	2	Comamonas sp.
Cornu aspersum	6535	1	Cornu aspersum
Fulvia fulva	5499	1	Fulvia fulva
Fungi	4751	1	Fungi
Gloeophyllum trabeum	104355	1	Gloeophyllum trabeum
Hansenula sp.	-1	2	
Komagataella pastoris	4922	1	Komagataella pastoris
Komagataella pastoris GS115	4922	2	Komagataella pastoris
Komagataella pastoris IFP 206	4922	3	Komagataella pastoris
Komagataella pastoris X33	4922	2	Komagataella pastoris
Komagataella phaffii	460519	1	Komagataella phaffii
Komagataella phaffii ATCC 76273	460519	3	Komagataella phaffii
Komagataella phaffii GS115	644223	1	Komagataella phaffii GS115
Kuraishia capsulata	317047	1	Kuraishia capsulata
Levilactobacillus brevis	1580	1	Levilactobacillus brevis
Lissachatina fulica	2315439	1	Lissachatina fulica
Ochrobactrum sp.	42190	1	Ochrobactrum sp.
Ochrobactrum sp. AIU 033	42190	3	Ochrobactrum sp.
Ogataea angusta	870730	1	Ogataea angusta
Ogataea angusta DL-1	870730	2	Ogataea angusta
Ogataea angusta NCYC 495	870730	3	Ogataea angusta
Ogataea glucozyma	36023	1	Ogataea glucozyma
Ogataea henricii	36024	1	Ogataea henricii
Ogataea methanolica	1156966	1	Ogataea methanolica
Ogataea methylovora	53649	1	Ogataea methylovora
Ogataea minuta	36026	1	Ogataea minuta
Ogataea naganishii	50265	1	Ogataea naganishii
Ogataea philodendri	1378263	1	Ogataea philodendri
Ogataea pignaliae	51923	1	Ogataea pignaliae
Ogataea pini	4923	1	Ogataea pini
Ogataea siamensis	246385	1	Ogataea siamensis
Ogataea thermomethanolica (nom. inval.)	310468	1	Ogataea thermomethanolica (nom. inval.)
Ogataea trehalophila	50267	1	Ogataea trehalophila
Ogataea wickerhamii	1249076	1	Ogataea wickerhamii
Paecilomyces variotii	264951	1	Paecilomyces variotii
Paecilomyces variotii RI017	264951	2	Paecilomyces variotii
Penicillium chrysogenum	5076	1	Penicillium chrysogenum
Penicillium purpurescens	69782	1	Penicillium purpurescens
Penicillium purpurescens AIU 063	69782	3	Penicillium purpurescens
Phanerodontia chrysosporium	2822231	1	Phanerodontia chrysosporium
Phanerodontia chrysosporium DSMZ 1547	2822231	3	Phanerodontia chrysosporium
Phanerodontia chrysosporium K-3	2822231	2	Phanerodontia chrysosporium
Phlebiopsis gigantea	82310	1	Phlebiopsis gigantea
Pichia putida	4919	2	Pichia
Pichia sp.	4925	1	Pichia sp.
Polyporus obtusus	5637	2	Polyporus
Poria contigua	81051	2	Poria
Radulodon casearius	1156840	1	Radulodon casearius
Starmerella bombicola	75736	1	Starmerella bombicola
Thermoanaerobacter brockii	29323	1	Thermoanaerobacter brockii
Thermoascus aurantiacus	5087	1	Thermoascus aurantiacus
Thermoascus aurantiacus NBRC 31693	5087	3	Thermoascus aurantiacus
[Candida] boidinii	5477	1	[Candida] boidinii
[Candida] methanosorbosa	50262	1	[Candida] methanosorbosa
[Candida] methanosorbosa M-2003	50262	2	[Candida] methanosorbosa
[Candida] sithepensis	246387	1	[Candida] sithepensis
[Candida] sonorensis	51926	1	[Candida] sonorensis
[Candida] succiphila	51927	1	[Candida] succiphila
