#id	name	round	inclusion	activity(mU/mg)	SD	Yield (mg/L)
1	A0A0E0SDM0	3	0	4087.3	281.9	87.9
2	A0A1B7NGS0	3	0	0	0	53.1
3	A0A1Q3EBI7	3	1	0	0	0
4	A0A1X6MWH7	3	0	912.7	229.4	150.8
5	A0A2J6PTI5	3	1	0	0	0
6	A0A370TVS3	3	1	0	0	0
7	A0A423XHQ7	3	0	7946.0	697.5	18.8
8	A0A4U6X6L6	3	0	8647.0	294.9	55.3
9	A0A4Z1KC62	3	0	3170.8	738.2	11.1
10	A0A5B1QN96	3	0	1269.8	423.5	4.0
11	A0A5M9JVZ9	3	1	0	0	0
12	A0A5N5JXS7	3	0	5997.7	79.4	10.4
13	A0A5N6UU48	2	1	0	0	0
14	XP_001838223.2	2	0	39.1	1.2	23
15	F8Q303	2	0	166.7	9.6	6
16	AAR89538.1	2	1	0	0	0
17	A0A0G2EW25	2	1	0	0	0
18	AAF82788.1	2	1	0	0	0
19	AAV66465.1	2	0	24.9	5.6	4
20	W9W4X4	2	1	0	0	0
21	W4JTB1	2	1	0	0	0
22	A0A0D2BJ30	2	1	0	0	0
23	A0A2K1QGL6	2	0	26.8	3.6	12
24	EAA66666.1	2	0	17.4	6	14
25	AAF02495.1	2	0	18.5	2.8	19
26	A0A2B7Z2F3	2	1	0	0	0
27	AAL56054.1	2	0	39.3	6.6	60
28	A0A0F4G7F6	2	0	20.2	3.2	15
29	A0A0D2AFJ7	2	0	369.6	34.5	49
30	A0A4S4MTI8	2	0	58.2	2.8	65
31	CDG66232.1	2	0	122.6	6.3	91
32	A0A067YIW8	1	1	0	0	0
33	A0A084GBF2	1	1	0	0	0
34	A0A1E3PW31	1	0	0	0	31
35	A0A642VDA0	1	0	241.9	10.9	40
36	A8DPS4	1	0	1432.4	102	184
37	C4R702	1	1	0	0	0
38	G8ZNE6	1	0	0	0	148
39	M5CAV1	1	1	0	0	0
40	P56216	1	0	0	0	35
41	Q00922	1	0	0	0	76
42	Q6CEP8	1	0	0	0	53
43	Q7X2H8	1	0	0	0	112
