	query	target	id
1	Q5BFW3	A0A3D8R9B7	92.4
2	Q5BFW3	A0A1L9TT25	91.6
3	Q5BFW3	A0A1L9P564	89.8
4	Q5BFW3	A0A0U5FTQ5	88.8
5	Q5BFW3	A0A3A2ZSQ4	85.6
6	Q5BFW3	A0A0F8U238	85.3
7	Q5BFW3	A0A5N6TJD5	84.9
8	Q5BFW3	A0A1V6TTI6	84.9
9	Q5BFW3	A0A364M4W2	84.7
10	Q5BFW3	B8NNE1	84.7
11	Q5BFW3	A0A1S9D6N2	84.7
12	Q5BFW3	A0A5N6DYK3	84.6
13	Q5BFW3	A0A0F0IAE6	84.6
14	Q5BFW3	A0A5N6EB52	84.6
15	Q5BFW3	A0A1F7ZTY3	84.6
16	Q5BFW3	A0A5N7D6G6	84.6
17	Q5BFW3	A0A5N6T6J1	84.6
18	Q5BFW3	A0A5N6UU48	84.4
19	Q5BFW3	A0A5N7A3P5	84.4
20	Q5BFW3	A0A2G7FIX8	84.4
21	Q5BFW3	A0A2I2G1Y8	84.3
22	Q5BFW3	A0A0L1IYH5	84.1
23	Q5BFW3	A0A5N7AS31	84.0
24	Q5BFW3	A0A1L9NM57	83.9
25	Q5BFW3	A0A5N6FLB4	83.8
26	Q5BFW3	A0A1L9SKB6	83.7
27	Q5BFW3	A0A319DNN5	83.7
28	Q5BFW3	Q8X1N1	83.6
29	Q5BFW3	A0A317VRS8	83.6
30	Q5BFW3	B6H004	83.6
31	Q5BFW3	A0A5N5WS51	83.4
32	Q5BFW3	A0A1L9RP90	83.4
33	Q5BFW3	A0A0A2K2L2	83.4
34	Q5BFW3	A0A3F3PYJ0	83.3
35	Q5BFW3	A0A401KSG4	83.3
36	Q5BFW3	A0A1V6TRI2	83.3
37	Q5BFW3	W6QZY1	83.3
38	Q5BFW3	Q0CAU6	83.2
39	Q5BFW3	A2RB46	83.1
40	Q5BFW3	A0A0M9WC58	83.1
41	Q5BFW3	A0A1V6Y250	83.1
42	Q5BFW3	A0A0G4PTH8	83.1
43	Q5BFW3	A0A135LT87	83.0
44	Q5BFW3	A0A1V6N6L8	83.0
45	Q5BFW3	A0A443I0D2	83.0
46	Q5BFW3	A0A101MG75	83.0
47	Q5BFW3	A0A1L9UG76	82.8
48	Q5BFW3	A0A0A2L8C1	82.8
49	Q5BFW3	A0A1V6R3E4	82.8
50	Q5BFW3	A0A1E3BR69	82.7
51	Q5BFW3	A0A2I2F6L9	82.6
52	Q5BFW3	A0A319EEE1	82.3
53	Q5BFW3	V5FXD6	82.2
54	Q5BFW3	A0A395HPP0	82.2
55	Q5BFW3	A0A395GID0	82.1
56	Q5BFW3	A0A017SR18	82.1
57	Q5BFW3	A0A1L9W0D4	82.1
58	Q5BFW3	A0A1V6S025	82.1
59	Q5BFW3	B8LTH7	82.0
60	Q5BFW3	A0A1R3RRE5	81.8
61	Q5BFW3	A0A1L9X343	81.8
62	Q5BFW3	A0A317VU31	81.7
63	Q5BFW3	A0A318ZDC1	81.7
64	Q5BFW3	A0A2V5HC18	81.7
65	Q5BFW3	A0A319CFQ0	81.5
66	Q5BFW3	A0A7H8QPQ1	80.8
67	Q5BFW3	A0A2B7XYC7	80.8
68	Q5BFW3	A0A1V6UEN6	80.5
69	Q5BFW3	A0A2B7Z2F3	80.2
70	Q5BFW3	Q2UNA0	80.1
71	Q5BFW3	A0A1J9PEQ4	80.1
72	Q5BFW3	W9YRP8	79.9
73	Q5BFW3	A0A0D2BJ30	79.5
74	Q5BFW3	H6BU34	79.5
75	Q5BFW3	A0A0D2DMY6	79.4
76	Q5BFW3	A0A0D2L0R8	79.2
77	Q5BFW3	A0A178ZH86	79.1
78	Q5BFW3	A0A0D2JCG4	79.1
